"description","assist","player","result","periodTime","totalTime","xx","yy"
"3 punti segnato","Janis Strelnieks","David Logan","made",587,587,1200,952
"3 punti sbagliato","","Alessandro Zanelli","missed",598,598,1080,840
"2 punti segnato","","Alessandro Gentile","made",8,608,930,364
"2 punti sbagliato","","Leonardo Faggian","missed",27,627,1020,616
"2 punti segnato","Leonardo Faggian","Alessandro Zanelli","made",39,639,795,532
"2 punti segnato","","Terry Allen","made",73,673,975,196
"3 punti segnato","","Janis Strelnieks","made",86,686,1305,616
"3 punti segnato","","Deishuan Booker","made",106,706,420,840
"2 punti segnato","Janis Strelnieks","Alessandro Gentile","made",125,725,825,112
"2 punti segnato","","Terry Allen","made",139,739,495,196
"3 punti sbagliato","","David Logan","missed",159,759,1275,672
"2 punti sbagliato","","Pauly Paulicap","missed",178,778,765,252
"2 punti sbagliato","","Demetre Rivers","missed",186,786,765,140
"3 punti segnato","Deishuan Booker","James Young","made",200,800,945,896
"3 punti segnato","","Janis Strelnieks","made",217,817,765,896
"2 punti segnato","Leonardo Faggian","Pauly Paulicap","made",234,834,870,224
"3 punti sbagliato","","Janis Strelnieks","missed",247,847,945,868
"3 punti segnato","Janis Strelnieks","David Logan","made",252,852,480,840
"2 punti segnato","","Deishuan Booker","made",270,870,540,588
"2 punti segnato","","David Logan","made",285,885,435,560
"3 punti sbagliato","","Deishuan Booker","missed",305,905,660,896
"2 punti sbagliato","","Kruize Pinkins","missed",317,917,705,224
"2 punti sbagliato","","James Young","missed",324,924,690,224
"3 punti segnato","Deishuan Booker","D'Angelo Harrison","made",355,955,1290,756
"2 punti segnato","Kruize Pinkins","Gerald Robinson","made",459,1059,750,168
"3 punti sbagliato","","Andrea Mezzanotte","missed",462,1062,75,168
"2 punti sbagliato","","Gerald Robinson","missed",464,1064,525,504
"3 punti sbagliato","","Kruize Pinkins","missed",470,1070,405,812
"3 punti sbagliato","","John Richard Nunge","missed",511,1111,1485,252
"2 punti sbagliato","","James Young","missed",524,1124,900,588
"2 punti segnato","","Gerald Robinson","made",542,1142,795,140
"3 punti segnato","Deishuan Booker","Alessandro Zanelli","made",562,1162,1275,868
"3 punti sbagliato","","Aristide Mouaha","missed",584,1184,45,280
"2 punti sbagliato","","Terry Allen","missed",595,1195,330,140
"3 punti sbagliato","","Terry Allen","missed",6,1206,1470,252
"3 punti segnato","Riccardo Rossato","John Richard Nunge","made",28,1228,150,560
"2 punti sbagliato","","James Young","missed",47,1247,810,308
"2 punti segnato","","Kruize Pinkins","made",68,1268,1050,168
"2 punti segnato","Deishuan Booker","James Young","made",94,1294,975,196
"2 punti segnato","Gerald Robinson","Riccardo Rossato","made",111,1311,1350,168
"3 punti segnato","","James Young","made",121,1321,315,756
"2 punti segnato","Gerald Robinson","Riccardo Rossato","made",153,1353,780,812
"3 punti sbagliato","","Deishuan Booker","missed",161,1361,1350,588
"2 punti segnato","","Gerald Robinson","made",170,1370,1005,224
"3 punti segnato","","Riccardo Rossato","made",180,1380,1455,364
"2 punti sbagliato","","James Young","missed",212,1412,990,252
"2 punti segnato","Riccardo Rossato","John Richard Nunge","made",221,1421,750,224
"3 punti segnato","","Riccardo Rossato","made",248,1448,195,616
"3 punti sbagliato","","Riccardo Rossato","missed",272,1472,1335,728
"2 punti segnato","Riccardo Rossato","John Richard Nunge","made",285,1485,480,532
"3 punti segnato","Terry Allen","Alessandro Zanelli","made",311,1511,435,840
"2 punti sbagliato","","Demetre Rivers","missed",335,1535,735,280
"2 punti sbagliato","","Gerald Robinson","missed",355,1555,1335,56
"3 punti sbagliato","","Kruize Pinkins","missed",372,1572,225,644
"3 punti sbagliato","","Terry Allen","missed",387,1587,45,140
"3 punti sbagliato","","D'Angelo Harrison","missed",409,1609,225,728
"2 punti sbagliato","","Riccardo Rossato","missed",440,1640,600,420
"3 punti sbagliato","","D'Angelo Harrison","missed",463,1663,1005,896
"2 punti segnato","","Gerald Robinson","made",481,1681,1050,504
"2 punti segnato","","Alessandro Zanelli","made",494,1694,465,336
"3 punti sbagliato","","David Logan","missed",495,1695,345,756
"2 punti segnato","","Terry Allen","made",495,1695,735,336
"3 punti sbagliato","","Terry Allen","missed",582,1782,1455,336
"2 punti segnato","Alessandro Zanelli","Leonardo Faggian","made",595,1795,885,140
"2 punti segnato","","James Young","made",26,1826,1035,448
"3 punti sbagliato","","Janis Strelnieks","missed",50,1850,840,1036
"2 punti segnato","","Kruize Pinkins","made",56,1856,765,252
"2 punti sbagliato","","Leonardo Faggian","missed",97,1897,810,504
"3 punti sbagliato","","Alessandro Zanelli","missed",134,1934,1155,896
"2 punti sbagliato","","Alessandro Zanelli","missed",142,1942,885,476
"2 punti segnato","","Janis Strelnieks","made",159,1959,975,504
"3 punti segnato","","James Young","made",180,1980,1245,812
"3 punti segnato","","Janis Strelnieks","made",197,1997,720,924
"2 punti segnato","","Gora Camara","made",220,2020,750,196
"3 punti sbagliato","","David Logan","missed",240,2040,315,812
"2 punti segnato","David Logan","John Richard Nunge","made",247,2047,750,140
"2 punti sbagliato","","James Young","missed",266,2066,930,252
"3 punti segnato","Janis Strelnieks","John Richard Nunge","made",291,2091,1095,896
"2 punti segnato","","D'Angelo Harrison","made",312,2112,795,616
"3 punti sbagliato","","David Logan","missed",332,2132,825,924
"2 punti segnato","","Deishuan Booker","made",355,2155,705,140
"3 punti segnato","David Logan","Demetre Rivers","made",383,2183,45,84
"2 punti sbagliato","","Deishuan Booker","missed",404,2204,840,196
"2 punti segnato","Janis Strelnieks","John Richard Nunge","made",421,2221,750,168
"2 punti segnato","","D'Angelo Harrison","made",440,2240,795,168
"2 punti segnato","Kruize Pinkins","Demetre Rivers","made",463,2263,705,532
"2 punti sbagliato","","D'Angelo Harrison","missed",478,2278,1065,532
"2 punti sbagliato","","Janis Strelnieks","missed",496,2296,840,364
"3 punti sbagliato","","Terry Allen","missed",504,2304,1485,112
"3 punti sbagliato","","D'Angelo Harrison","missed",541,2341,645,896
"2 punti sbagliato","","Andrea Mezzanotte","missed",547,2347,780,224
"2 punti segnato","","D'Angelo Harrison","made",562,2362,780,168
"2 punti segnato","","Riccardo Rossato","made",593,2393,750,588
"2 punti segnato","Alessandro Zanelli","Terry Allen","made",593,2393,765,140
"2 punti sbagliato","","Sasha Grant","missed",15,15,795,364
"3 punti segnato","","Prentiss Hubb","made",40,40,705,1064
"2 punti segnato","","Kevin Juwan Hervey","made",56,56,960,504
"3 punti sbagliato","","Quinn Ellis","missed",75,75,465,840
"2 punti segnato","Quinn Ellis","Andrejs Grazulis","made",96,96,855,308
"2 punti sbagliato","","Langston Galloway","missed",106,106,495,280
"2 punti segnato","","Briante Weber","made",142,142,630,308
"2 punti sbagliato","","Prentiss Hubb","missed",167,167,1125,168
"2 punti segnato","","Kevin Juwan Hervey","made",179,179,735,392
"3 punti segnato","Briante Weber","Kevin Juwan Hervey","made",183,183,375,784
"2 punti sbagliato","","Briante Weber","missed",228,228,600,448
"2 punti segnato","Prentiss Hubb","Quinn Ellis","made",233,233,735,196
"2 punti sbagliato","","Sasha Grant","missed",254,254,615,196
"2 punti sbagliato","","Derek Cooke","missed",266,266,675,196
"3 punti sbagliato","","Myles Stephens","missed",293,293,1290,700
"3 punti sbagliato","","Langston Galloway","missed",306,306,555,840
"2 punti segnato","","Briante Weber","made",320,320,765,420
"2 punti segnato","","Kamar Baldwin","made",337,337,795,336
"3 punti segnato","Andrejs Grazulis","","made",368,368,840,952
"2 punti sbagliato","","Kevin Juwan Hervey","missed",396,396,945,224
"3 punti segnato","","Kevin Juwan Hervey","made",406,406,1335,700
"3 punti segnato","Kamar Baldwin","Andrejs Grazulis","made",419,419,1470,168
"3 punti sbagliato","","Kevin Juwan Hervey","missed",438,438,1425,504
"3 punti segnato","Davide Alviti","Andrejs Grazulis","made",448,448,285,728
"2 punti segnato","Prentiss Hubb","Paul Stephan Biligha","made",468,468,750,644
"3 punti segnato","Alessandro Cipolla","Jamar Smith","made",492,492,1245,756
"2 punti segnato","Kamar Baldwin","Mattia Udom","made",506,506,705,112
"2 punti segnato","","Kamar Baldwin","made",557,557,915,140
"2 punti sbagliato","","Jamar Smith","missed",599,599,690,168
"2 punti segnato","","Jamar Smith","made",7,607,705,196
"3 punti segnato","Toto Forray","Davide Alviti","made",20,620,465,812
"2 punti sbagliato","","Jamar Smith","missed",49,649,105,196
"3 punti sbagliato","","Davide Alviti","missed",57,657,315,784
"2 punti segnato","","Kamar Baldwin","made",87,687,660,448
"2 punti segnato","","Langston Galloway","made",106,706,1080,84
"2 punti segnato","","Langston Galloway","made",126,726,660,168
"3 punti sbagliato","","Kamar Baldwin","missed",143,743,60,168
"3 punti segnato","Kamar Baldwin","Mattia Udom","made",152,752,270,672
"2 punti segnato","","Jamar Smith","made",173,773,1140,616
"2 punti sbagliato","","Langston Galloway","missed",196,796,840,112
"2 punti sbagliato","","Paul Stephan Biligha","missed",203,803,630,112
"2 punti segnato","","Kevin Juwan Hervey","made",224,824,855,532
"3 punti segnato","","Prentiss Hubb","made",237,837,1065,868
"3 punti segnato","","Jamar Smith","made",256,856,1155,756
"2 punti segnato","Prentiss Hubb","Paul Stephan Biligha","made",267,867,705,112
"3 punti sbagliato","","Myles Stephens","missed",309,909,1410,532
"2 punti segnato","","Prentiss Hubb","made",340,940,870,112
"3 punti sbagliato","","Kevin Juwan Hervey","missed",356,956,330,756
"2 punti sbagliato","","Kevin Juwan Hervey","missed",374,974,1185,140
"2 punti segnato","Quinn Ellis","Myles Stephens","made",383,983,705,168
"3 punti sbagliato","","Mattia Udom","missed",411,1011,30,84
"3 punti sbagliato","","Matteo Chillo","missed",421,1021,705,896
"2 punti segnato","Paul Stephan Biligha","Andrejs Grazulis","made",449,1049,840,532
"2 punti sbagliato","","Paul Stephan Biligha","missed",488,1088,1335,168
"2 punti sbagliato","","Mouhamed Faye","missed",510,1110,930,280
"3 punti segnato","Prentiss Hubb","Andrejs Grazulis","made",517,1117,225,644
"2 punti sbagliato","","Briante Weber","missed",536,1136,1005,224
"3 punti sbagliato","","Myles Stephens","missed",575,1175,840,980
"3 punti sbagliato","","Kevin Juwan Hervey","missed",597,1197,1380,672
"2 punti sbagliato","","Kevin Juwan Hervey","missed",600,1200,870,224
"2 punti segnato","","Kevin Juwan Hervey","made",22,1222,675,168
"3 punti sbagliato","","Andrejs Grazulis","missed",48,1248,915,896
"2 punti sbagliato","","Darion Atkins","missed",65,1265,720,756
"2 punti segnato","Prentiss Hubb","Andrejs Grazulis","made",81,1281,765,280
"2 punti segnato","","Briante Weber","made",94,1294,720,112
"2 punti segnato","","Andrejs Grazulis","made",108,1308,1065,140
